#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 15:19:23 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
17.158	411	17.184	550
17.209	406	17.235	550
17.259	401	17.285	550
17.311	397	17.336	550
17.361	395	17.386	550
17.412	393	17.438	550
17.462	392	17.488	550
17.513	394	17.539	550
17.563	395	17.589	550
17.615	399	17.640	550
17.665	403	17.690	550
17.716	408	17.742	549
17.766	413	17.792	551
17.817	419	17.843	550
17.868	424	17.893	551
17.919	429	17.944	551
17.970	433	17.995	550
18.020	436	18.046	550
18.071	439	18.096	549
18.122	440	18.147	549
18.173	440	18.197	550
18.223	440	18.249	550
18.274	437	18.299	550
18.324	434	18.350	550
18.376	430	18.400	550
18.426	426	18.451	550
18.477	422	18.501	550
18.527	416	18.553	550
18.578	411	18.603	549
18.628	407	18.654	551
18.680	403	18.704	549
18.730	400	18.755	549
18.781	397	18.806	550
18.831	396	18.857	550
18.882	397	18.907	550
18.933	397	18.958	550
18.984	399	19.008	550
19.034	402	19.060	550
19.085	405	19.110	550
19.135	410	19.161	550
19.187	413	19.211	550
19.237	419	19.262	550
19.288	423	19.312	550
19.338	428	19.364	550
19.389	431	19.414	549
19.439	434	19.465	549
19.491	436	19.515	550
19.541	437	19.566	550
19.592	437	19.617	550
19.642	437	19.668	550
19.693	434	19.718	550
19.744	431	19.769	550
19.795	428	19.819	550
19.845	424	19.871	550
19.896	420	19.921	550
19.946	416	19.972	549
19.998	412	20.022	549
20.048	408	20.073	550
20.099	405	20.123	550
20.149	402	20.175	550
20.200	400	20.225	550
20.250	400	20.276	550
20.302	399	20.326	550
20.352	401	20.377	550
20.403	403	20.428	550
20.453	405	20.479	550
20.504	408	20.529	550
20.555	411	20.580	550
20.606	415	20.630	550
20.656	419	20.682	550
20.707	423	20.732	549
20.757	427	20.783	550
20.809	429	20.833	549
20.859	432	20.884	551
20.910	433	20.934	549
20.960	434	20.986	550
21.011	434	21.037	550
21.061	433	21.087	550
21.113	432	21.138	550
21.163	429	21.188	550
21.214	426	21.240	550
21.264	423	21.290	550
21.315	419	21.341	549
21.366	417	21.391	549
21.417	412	21.442	549
21.467	409	21.493	549
21.518	407	21.544	549
21.568	405	21.594	549
21.620	403	21.645	548
21.670	403	21.695	550
21.721	403	21.747	550
21.771	404	21.797	550
21.822	406	21.848	550
21.872	407	21.898	549
21.924	411	21.949	550
21.974	414	21.999	550
22.025	417	22.051	550
22.075	420	22.101	549
22.126	423	22.152	550
22.177	425	22.202	549
22.228	428	22.253	550
22.278	430	22.304	550
22.329	431	22.355	549
22.379	430	22.405	549
22.431	430	22.456	550
22.481	430	22.506	550
22.532	428	22.558	550
22.582	426	22.608	550
22.633	424	22.659	550
22.683	421	22.709	550
22.735	418	22.760	549
22.785	415	22.810	549
22.836	413	22.862	549
22.886	411	22.912	549
22.937	409	22.963	550
22.988	407	23.013	550
23.039	406	23.064	550
23.089	407	23.115	549
23.140	406	23.166	550
23.190	407	23.216	550
23.242	409	23.267	550
23.292	410	23.317	550
23.343	412	23.369	550
23.393	415	23.419	550
23.444	418	23.470	550
23.494	419	23.520	550
23.546	423	23.571	550
23.596	424	23.621	550
23.647	426	23.673	550
23.697	427	23.723	550
23.748	428	23.774	549
23.799	427	23.824	550
23.850	427	23.875	550
23.900	427	23.926	550
23.951	426	23.977	550
24.001	424	24.027	550
24.053	422	24.078	550
24.103	420	24.128	550
24.154	418	24.180	549
24.204	416	24.230	549
24.255	414	24.281	551
24.306	412	24.331	550
24.357	411	24.382	550
24.407	410	24.432	550
24.458	409	24.484	549
24.508	409	24.534	549
24.559	410	24.585	550
24.610	410	24.635	550
24.661	412	24.686	550
24.711	413	24.737	550
24.762	415	24.788	550
24.812	416	24.838	550
24.864	419	24.889	549
24.914	420	24.939	551
24.965	422	24.991	550
25.015	423	25.041	550
25.066	424	25.092	551
25.117	425	25.142	550
25.168	425	25.193	550
25.218	425	25.243	550
25.269	424	25.295	549
25.319	424	25.345	549
25.370	423	25.396	550
25.421	421	25.446	550
25.472	419	25.497	550
25.523	418	25.548	550
25.573	417	25.599	550
25.624	416	25.649	550
25.675	414	25.700	550
25.726	413	25.750	550
25.776	413	25.802	551
25.827	412	25.852	551
25.877	412	25.903	550
25.929	412	25.953	551
25.979	413	26.004	549
26.030	414	26.054	549
26.080	415	26.106	550
26.131	416	26.156	550
26.181	417	26.207	550
26.233	418	26.257	549
26.283	419	26.308	549
26.334	420	26.359	550
26.384	421	26.410	549
26.435	422	26.460	549
26.486	422	26.511	550
26.537	422	26.561	549
